timestamp,message
1748599912913,"[INFO]	2025-05-30T10:11:52.913Z	62f829b0-12f3-4bb0-b1a8-d83028d0168e	<qdrant logs> Connected to Qdrant at http://52.12.20.4:6333
"
1748599912919,"[INFO]	2025-05-30T10:11:52.919Z	62f829b0-12f3-4bb0-b1a8-d83028d0168e	<qdrant logs> Available collections: ['ui_descriptions']
"
1748599912919,"[INFO]	2025-05-30T10:11:52.919Z	62f829b0-12f3-4bb0-b1a8-d83028d0168e	<qdrant logs> Using collection: ui_descriptions
"
1748599912976,"[INFO]	2025-05-30T10:11:52.976Z	62f829b0-12f3-4bb0-b1a8-d83028d0168e	<qdrant logs> Searching for: The image titled 'GlowUp Hero' features a beautifully styled promotional graphic that embodies the essence of beauty and radiance. It showcases a serene and aesthetically pleasing background with soft gradients that transition from light pink to lavender hues, reflecting a warm and inviting atmosphere. In the foreground, elegantly arranged skincare and makeup products are displayed, hinting at the luxurious offerings of the GlowUp brand. The overall composition is enhanced by a subtle shadow effect that adds depth, while the rounded edges of the image create a modern and sleek look. This visually captivating image is designed to draw in viewers and inspire them on their beauty journey.
"
1748599913180,"[INFO]	2025-05-30T10:11:53.180Z	62f829b0-12f3-4bb0-b1a8-d83028d0168e	<qdrant logs> Generated query embedding
"
1748599913188,"<qdrant logs> Search results: [ScoredPoint(id='07463189-a4a0-4940-a6c3-e9da11e2b96c', version=7, score=0.6362743, payload={'variant_id': '98d05be9-21ad-430c-a8e8-6a219d314330', 'query_text': 'Create a beautiful website design for a beauty salon', 'full_prompt': 'Create a beautiful website design for a beauty salon', 'alt_text': 'The image depicts a serene and inviting facial treatment scene, showcasing a client receiving a facial. The setting is tranquil, with soft lighting that creates a relaxing atmosphere. The client is reclined comfortably on a treatment bed, surrounded by elegant decor that enhances the spa-like experience. Various skincare products and tools are neatly arranged nearby, emphasizing the professional nature of the service. The overall aesthetic conveys a sense of luxury and rejuvenation, highlighting the soothing and revitalizing effects of facial treatments.', 'source': 'tsx_props', 'image_url': 'https://akira-ui-generator.s3.us-west-2.amazonaws.com/9f382cd7-340f-4d43-b090-f80e7ff3b4d3/19bf40de6be04e2f8bc36806de911304.jpg'}, vector=None, shard_key=None, order_value=None), ScoredPoint(id='158b960c-eeca-4d7a-9dd0-04470d0b4b60', version=7, score=0.6308136, payload={'variant_id': '98d05be9-21ad-430c-a8e8-6a219d314330', 'query_text': 'Create a beautiful website design for a beauty salon', 'full_prompt': 'Create a beautiful website design for a beauty salon', 'alt_text': 'The image is a vibrant and colorful background graphic, featuring a smooth gradient that transitions from deep indigo to purple and then to a soft pink. The design is abstract, with flowing shapes and soft edges that create a sense of depth and fluidity. The overall effect is visually striking and enhances the atmosphere of relaxation and beauty, suitable for a salon-themed website. The opacity is set low, allowing other content layered above it to remain prominent while still providing an engaging backdrop.', 'source': 'tsx_props', 'image_url': 'https://akira-ui-generator.s3.us-west-2.amazonaws.com/9f382cd7-340f-4d43-b090-f80e7ff3b4d3/ca992b1c77644157be8d77650c51d91d.jpg'}, vector=None, shard_key=None, order_value=None), ScoredPoint(id='28827796-071a-41fb-85d5-00a92fe737c2', version=17, score=0.6037122, payload={'variant_id': '015a3a2d-1e7e-4b51-aad6-8738cb4bcd76', 'query_text': 'text image in section', 'full_prompt': 'text image in section', 'alt_text': 'The image is a stylized background graphic, likely featuring abstract shapes or patterns that blend seamlessly into a vibrant color palette. It serves as a backdrop for the content in the hero section of the webpage. The colors appear to transition smoothly from indigo to purple and finally to pink, creating a visually appealing gradient effect that enhances the overall aesthetic. This design element is intended to evoke a sense of creativity and energy, complementing the welcoming message and call-to-action elements positioned in the foreground. The image is set to cover the entire section, ensuring that it maintains its visual impact regardless of screen size.', 'source': 'tsx_props', 'image_url': 'https://bfldeliverysc.blob.core.windows.net/results/67159040919a46f38333ac8859334db2/sample.jpeg?se=2024-11-11T08%3A45%3A49Z&sp=r&sv=2024-11-04&sr=b&rsct=image/jpeg&sig=Ik39tAe8y235Um6vX64x2jxt/mHnxKtGHoeYLvplGbc%3D'}, vector=None, shard_key=None, order_value=None)]
"
1748599913189,"[INFO]	2025-05-30T10:11:53.188Z	62f829b0-12f3-4bb0-b1a8-d83028d0168e	<qdrant logs> Found 3 results
"
1748599913189,"[INFO]	2025-05-30T10:11:53.189Z	62f829b0-12f3-4bb0-b1a8-d83028d0168e	<qdrant logs> Filtered 0 results above threshold 0.7
"
1748599944165,"[ERROR]	2025-05-30T10:12:24.165Z	62f829b0-12f3-4bb0-b1a8-d83028d0168e	<qdrant logs> Failed to store image in database: 'Client' object has no attribute 'embeddings'
"
1748599944165,"[WARNING]	2025-05-30T10:12:24.165Z	62f829b0-12f3-4bb0-b1a8-d83028d0168e	<qdrant logs> Failed to store DALL-E fallback image in database
"
1748599947479,"[INFO]	2025-05-30T10:12:27.479Z	62f829b0-12f3-4bb0-b1a8-d83028d0168e	<qdrant logs> Connected to Qdrant at http://52.12.20.4:6333
"
1748599947483,"[INFO]	2025-05-30T10:12:27.483Z	62f829b0-12f3-4bb0-b1a8-d83028d0168e	<qdrant logs> Available collections: ['ui_descriptions']
"
1748599947483,"[INFO]	2025-05-30T10:12:27.483Z	62f829b0-12f3-4bb0-b1a8-d83028d0168e	<qdrant logs> Using collection: ui_descriptions
"
1748599947489,"[INFO]	2025-05-30T10:12:27.489Z	62f829b0-12f3-4bb0-b1a8-d83028d0168e	<qdrant logs> Searching for: The image displays a bottle of Radiant Glow Serum, designed to enhance the skin's brightness and hydration. The bottle is elegantly shaped, featuring a sleek design with a label that highlights its key ingredients, likely conveying a sense of luxury and effectiveness. The serum is presented against a clean, softly blurred background that complements its vibrant colors, emphasizing its allure. The rounded edges of the bottle give it a modern and inviting appearance, while the overall composition suggests a focus on skincare and beauty.
"
1748599947677,"[INFO]	2025-05-30T10:12:27.677Z	62f829b0-12f3-4bb0-b1a8-d83028d0168e	<qdrant logs> Generated query embedding
"
